응답ID,제출일,부서,직급,재직년수,몰입도점수,경영진신뢰,평가공정성,재택근무만족,주요불만영역,한줄코멘트
R001,2026-03-15,소재기술,선임,8,3,2,2,1,평가체계,KPI가 조직 개편 반영 안 됨
R002,2026-03-15,소재기술,책임,12,3,3,3,2,평가체계,작년 평가 피드백 못 받음
R003,2026-03-15,소재기술,신입,1,4,3,4,3,온보딩,새 팀 업무 가이드 부재
R004,2026-03-15,소재기술,책임,15,2,2,2,1,재택근무,육아 중인데 주1회 재택 축소
R005,2026-03-16,소재기술,선임,6,4,3,3,2,재택근무,직급별 선택제 희망
R006,2026-03-16,공정기술,책임,10,2,2,3,2,일정압박,납기 갑자기 당김 반복
R007,2026-03-16,공정기술,선임,7,3,2,3,2,AI도구,공식 도구 부재 개인계정 사용
R008,2026-03-16,공정기술,신입,2,3,3,3,3,AI도구,데이터 유출 걱정
R009,2026-03-17,공정기술,책임,13,2,2,2,1,평가체계,팀장 3번 바뀜 기준 제각각
R010,2026-03-17,공정기술,선임,9,3,3,3,2,회의과다,하루 4개 미팅 일 못함
R011,2026-03-17,분석기술,선임,11,3,2,3,2,협업지연,결재 대기 8건 쌓임
R012,2026-03-17,분석기술,책임,14,2,2,2,2,지식공유,아카이브 검색 불가
R013,2026-03-18,분석기술,신입,1,4,3,4,3,지식공유,선배 중복 분석 나중에 앎
R014,2026-03-18,분석기술,선임,7,3,3,3,2,협업지연,응답 평균 일주일
R015,2026-03-18,분석기술,책임,16,2,2,2,1,피드백루프,보고 후 검토중만 반복
R016,2026-03-18,품질기술,책임,12,2,2,3,2,협업지연,분석팀 응답 지연 고객 클레임
R017,2026-03-19,품질기술,선임,8,3,3,3,2,협업지연,2일 결재 2026년 안됨
R018,2026-03-19,품질기술,선임,10,3,3,3,2,회의과다,보고서 3가지 포맷 부담
R019,2026-03-19,품질기술,책임,14,2,2,2,1,피드백루프,3번 보고 결론 없음
R020,2026-03-19,품질기술,책임,11,3,3,3,2,지식공유,과거 분석 재활용 불가
R021,2026-03-20,소재기술,선임,9,3,3,3,2,특허KPI,질적 평가 없음
R022,2026-03-20,소재기술,책임,13,2,2,2,2,특허KPI,쓸모없는 특허 양산 압박
R023,2026-03-20,공정기술,선임,8,4,4,4,3,AI도구,개인 사용 만족 공식화 희망
R024,2026-03-20,공정기술,책임,15,3,3,3,2,일정압박,AI 효율 30% 숫자 출처 불명
R025,2026-03-21,분석기술,신입,1,5,4,4,4,온보딩,팀 분위기 좋음 교육만 추가되면
R026,2026-03-21,분석기술,선임,6,3,3,3,2,지식공유,Zettelkasten 필요
R027,2026-03-21,품질기술,책임,12,2,2,2,1,피드백루프,익명채널 3번 사용 무반응
R028,2026-03-21,품질기술,선임,9,3,3,3,2,회의과다,회의 AI 요약 도입 희망
R029,2026-03-22,소재기술,책임,14,2,2,3,1,재택근무,경영진 직관 정책 비판
R030,2026-03-22,공정기술,선임,7,3,3,3,2,일정압박,이전 데이터 재활용 위험
R031,2026-03-22,분석기술,책임,13,2,2,2,2,협업지연,결재 위임 필요
R032,2026-03-22,품질기술,선임,10,3,3,3,2,지식공유,검색 가능 지식베이스 희망
R033,2026-03-23,소재기술,선임,8,3,3,3,2,평가체계,중복 집계 의심
R034,2026-03-23,소재기술,책임,11,3,3,3,2,온보딩,온보딩 가이드 제안
R035,2026-03-23,공정기술,책임,12,3,3,3,2,AI도구,사내 표준 도구 시급
R036,2026-03-23,분석기술,선임,8,3,3,3,2,회의록,결정사항 기록 안 남음
R037,2026-03-24,품질기술,선임,9,3,3,3,2,협업지연,Slack 승인 도입 요청
R038,2026-03-24,소재기술,책임,15,2,2,2,1,피드백루프,변한 게 없음
R039,2026-03-24,공정기술,선임,6,3,3,3,2,일정압박,실험 시간 부족
R040,2026-03-24,분석기술,책임,14,3,3,3,2,프로세스,부서 문제 아닌 프로세스 문제
R041,2026-03-25,품질기술,책임,13,2,2,2,2,프로세스,전사 차원 개선 필요
R042,2026-03-25,소재기술,신입,1,3,3,3,3,온보딩,1:1 미실시
R043,2026-03-25,공정기술,책임,11,3,3,3,2,재택근무,성과 오히려 상승 데이터 있음
R044,2026-03-25,분석기술,선임,9,3,3,3,2,결재,5만원 6단계 결재
R045,2026-03-26,품질기술,선임,10,3,3,3,2,회의과다,주간/팀즈/상위/타부서
R046,2026-03-26,소재기술,선임,7,4,3,3,3,조직문화,후배와 세대차이 있지만 극복 중
R047,2026-03-26,공정기술,선임,8,3,3,3,2,일정압박,AI=문서 빨라짐만
R048,2026-03-26,분석기술,책임,16,2,2,2,2,피드백루프,채널 실효성 의심
R049,2026-03-27,품질기술,책임,15,3,3,3,2,프로세스,부서 차원 아님
R050,2026-03-27,소재기술,책임,13,2,2,3,2,특허KPI,실사용률 공개 필요
